CNN,street1,street2,street3,street4,street5
50240000,TRUETT ST,END: 1-99 BLOCK,,,
50241000,SHEPHARD PL,START: 1-99 BLOCK,,,
50242000,MILLER PL,END: 1-99 BLOCK,,,
50243000,FREEMAN CT,END: 1-99 BLOCK,,,
50244000,WETMORE ST,START: 1-99 BLOCK,,,
50245000,DAWSON PL,END: 1-99 BLOCK,,,
50246000,MALVINA PL,END: 1-99 BLOCK,,,
50247000,EWER PL,END: 1-99 BLOCK,,,
50248000,NOB HILL PL,END: 1-99 BLOCK,,,
50249000,VINE TER,END: 1-99 BLOCK,,,
50250000,LEROY PL,END: 100-199 BLOCK,,,
50251000,KIMBALL PL,END: 100-199 BLOCK,,,
50252000,HELEN ST,START: 1-99 BLOCK,,,
50253000,PRIEST ST,START: 1-99 BLOCK,,,
50254000,REED ST,START: 1-99 BLOCK,,,
50255000,ACORN ALY,END: 1-99 BLOCK,,,
50256000,LEROY PL,START: 1-99 BLOCK,,,
50257000,GOLDEN CT,END: 1-99 BLOCK,,,
50258000,KIMBALL PL,START: 1-99 BLOCK,,,
50259000,TROY ALY,END: 1-99 BLOCK,,,
50260000,CONTINUUM WAY,START: 1-99 BLOCK,,,
50261000,BREEN PL,END: 1-99 BLOCK,,,
50262000,DODGE ST,START: 1-99 BLOCK,,,
50263000,SECURITY PACIFIC PL,END: 1-99 BLOCK,,,
50264000,OPAL PL,END: 1-99 BLOCK,,,
50265000,DERBY ST,END: 1-49 BLOCK,,,
50266000,DERBY ST,TAYLOR ST,,,
50267000,ISADORA DUNCAN LN,END: 1-99 BLOCK,,,
50268000,COLIN PL,START: 1-99 BLOCK,,,
50269000,STEVELOE PL,END: 1-99 BLOCK,,,
50270000,ANTONIO ST,END: 1-29 BLOCK,,,
50271000,HARLEM ALY,END: 1-99 BLOCK,,,
50272000,AMITY ALY,START: 1-99 BLOCK,,,
50273000,MABEL ALY,START: 1-99 BLOCK,,,
50274000,MEACHAM PL,START: 1-99 BLOCK,,,
50275000,ADA CT,END: 50-99 BLOCK,,,
50277000,FRANKLIN ST,FORT MASON 13,FORT MASON 15,,
50278000,MACARTHUR AVE,FORT MASON 17,FORT MASON 21,,
50279000,FUNSTON RD,FRANKLIN ST,,,
50280000,POPE RD,FUNSTON RD,,,
50281000,MACARTHUR AVE,FORT MASON 8,,,
50282000,POPE RD,FORT MASON 16,FORT MASON 19,FRANKLIN ST,MACARTHUR AVE
50283000,FORT MASON 9,FORT MASON 15,FORT MASON 16,,
50284000,FORT MASON 9,FORT MASON 10,FORT MASON 8,,
50285000,SHAFTER CT,FORT MASON 10,FORT MASON 12,,
50286000,SHAFTER CT,FORT MASON 12,FORT MASON 13,,
50287000,JEFFERSON ST,END: 500-599 BLOCK,,,
50288000,FUNSTON RD,END: 0-0 BLOCK,,,
50289000,BEACH ST,END: 900-999 BLOCK,,,
50290000,CHARLTON CT,START: 1-99 BLOCK,,,
50291000,HARRIS PL,START: 1-99 BLOCK,,,
50292000,BROMLEY PL,START: 1-99 BLOCK,,,
50293000,TOUCHARD ST,END: 1-99 BLOCK,,,
